Plot,Corners,Lat,Long,xRel,yRel,xProj,yProj
NB1,NB1_SE,4.06692331144078,52.6888349696554,100,0,687482.047140187,449720.800028002
NB1,NB1_SE,4.06693971482464,52.6888250235216,100,0,687480.93888164,449722.611662089
NB1,NB1_SE,4.06693562428818,52.6888415577155,100,0,687482.775862123,449722.163155558
NB1,NB1_SE,4.06692277795497,52.688823182679,100,0,687480.73838228,449720.738296302
NB1,NB1_SE,4.06694736875893,52.6888302976475,100,0,687481.522775465,449723.459285611
NB1,NB1_SE,4.06694735720886,52.6888445067307,100,0,687483.100621491,449723.461307791
NB1,NB1_SE,4.06692154513173,52.6888484008145,100,0,687483.539007686,449720.60782214
NB1,NB1_SE,4.06694386961516,52.6888246092528,100,0,687480.891918535,449723.071017174
NB1,NB1_SE,4.06693228625526,52.6888315505705,100,0,687481.665393597,449721.791700484
NB1,NB1_SE,4.0670333,52.6887333,100,0,687470.73183147,449732.939339987
NB1,NB1_SW,4.0669051318448,52.6878344811863,0,0,687370.952426836,449718.557417332
NB1,NB1_SW,4.06689643556071,52.6878393698754,0,0,687371.497299316,449717.596886776
NB1,NB1_SW,4.06691067866726,52.6878598324284,0,0,687373.766264682,449719.176687254
NB1,NB1_SW,4.06688892164225,52.6878616921069,0,0,687373.977800174,449716.771152028
NB1,NB1_SW,4.06689515885654,52.6878504527014,0,0,687372.728282884,449717.458276377
NB1,NB1_SW,4.06689964413542,52.6878540318506,0,0,687373.124691688,449717.955104572
NB1,NB1_SW,4.06688888187481,52.6878609176637,0,0,687373.89181159,449716.766574684
NB1,NB1_SW,4.06689546918944,52.6878431808568,0,0,687371.920711736,449717.49090651
NB1,NB1_SW,4.06691466482805,52.6878553006958,0,0,687373.262118814,449719.616438977
NB1,NB1_SW,4.0668,52.68775,0,0,687361.595538108,449706.911971691
NB1,NB1_NE,4.06786526974419,52.6887676764094,100,100,687474.356747543,449824.949447287
NB1,NB1_NE,4.06784356567392,52.6887679168337,100,100,687474.388465139,449822.549391076
NB1,NB1_NE,4.06783779898743,52.6887891134967,100,100,687476.743573257,449821.916613582
NB1,NB1_NE,4.06783932418709,52.6887969212131,100,100,687477.610225036,449822.087088842
NB1,NB1_NE,4.06786407517678,52.6887761806978,100,100,687475.301378865,449824.81932295
NB1,NB1_NE,4.06785934655333,52.6887931852862,100,100,687477.19073973,449824.300364533
NB1,NB1_NE,4.06786504659235,52.6887923617509,100,100,687477.097972261,449824.930503538
NB1,NB1_NE,4.06784521642499,52.688798797154,100,100,687477.817175298,449822.739108829
NB1,NB1_NE,4.06785006244102,52.6887869120638,100,100,687476.496279725,449823.272237931
NB1,NB1_NE,4.06795,52.6888833,100,100,687487.176521354,449834.346070341
NB1,NB1_NW,4.06784185930623,52.6879261902017,0,100,687380.919706799,449822.165255542
NB1,NB1_NW,4.06784556657113,52.6879272894859,0,100,687381.040919291,449822.57547287
NB1,NB1_NW,4.06783726609155,52.6879187879422,0,100,687380.098788214,449821.655603721
NB1,NB1_NW,4.06782570202316,52.6879233048224,0,100,687380.603036244,449820.377857623
NB1,NB1_NW,4.0678446818508,52.6879232636077,0,100,687380.594072084,449822.476702912
NB1,NB1_NW,4.0678313185032,52.6879413976129,0,100,687382.61084324,449821.003147271
NB1,NB1_NW,4.06782975442776,52.6879265819463,0,100,687380.966006134,449820.826747231
NB1,NB1_NW,4.06783207966728,52.68794495989,0,100,687383.006238654,449821.088146343
NB1,NB1_NW,4.06782438260458,52.6879302139827,0,100,687381.37056568,449820.233555585
NB1,NB1_NW,4.0677333,52.6880333,0,100,687392.838760227,449810.185256335
