Plot,Corners,Lat,Long,xRel,yRel
NB1,NB1_SW,4.06692331144078,52.6888349696554,0,0
NB1,NB1_SW,4.06693971482464,52.6888250235216,0,0
NB1,NB1_SW,4.06693562428818,52.6888415577155,0,0
NB1,NB1_SW,4.06692277795497,52.688823182679,0,0
NB1,NB1_SW,4.06694736875893,52.6888302976475,0,0
NB1,NB1_SW,4.06694735720886,52.6888445067307,0,0
NB1,NB1_SW,4.06692154513173,52.6888484008145,0,0
NB1,NB1_SW,4.06694386961516,52.6888246092528,0,0
NB1,NB1_SW,4.06693228625526,52.6888315505705,0,0
NB1,NB1_SW,4.0670333,52.6887333,0,0
NB1,NB1_SE,4.0669051318448,52.6878344811863,0,100
NB1,NB1_SE,4.06689643556071,52.6878393698754,0,100
NB1,NB1_SE,4.06691067866726,52.6878598324284,0,100
NB1,NB1_SE,4.06688892164225,52.6878616921069,0,100
NB1,NB1_SE,4.06689515885654,52.6878504527014,0,100
NB1,NB1_SE,4.06689964413542,52.6878540318506,0,100
NB1,NB1_SE,4.06688888187481,52.6878609176637,0,100
NB1,NB1_SE,4.06689546918944,52.6878431808568,0,100
NB1,NB1_SE,4.06691466482805,52.6878553006958,0,100
NB1,NB1_SE,4.0668,52.68775,0,100
NB1,NB1_NW,4.06786526974419,52.6887676764094,100,0
NB1,NB1_NW,4.06784356567392,52.6887679168337,100,0
NB1,NB1_NW,4.06783779898743,52.6887891134967,100,0
NB1,NB1_NW,4.06783932418709,52.6887969212131,100,0
NB1,NB1_NW,4.06786407517678,52.6887761806978,100,0
NB1,NB1_NW,4.06785934655333,52.6887931852862,100,0
NB1,NB1_NW,4.06786504659235,52.6887923617509,100,0
NB1,NB1_NW,4.06784521642499,52.688798797154,100,0
NB1,NB1_NW,4.06785006244102,52.6887869120638,100,0
NB1,NB1_NW,4.06795,52.6888833,100,0
NB1,NB1_NE,4.06784185930623,52.6879261902017,100,100
NB1,NB1_NE,4.06784556657113,52.6879272894859,100,100
NB1,NB1_NE,4.06783726609155,52.6879187879422,100,100
NB1,NB1_NE,4.06782570202316,52.6879233048224,100,100
NB1,NB1_NE,4.0678446818508,52.6879232636077,100,100
NB1,NB1_NE,4.0678313185032,52.6879413976129,100,100
NB1,NB1_NE,4.06782975442776,52.6879265819463,100,100
NB1,NB1_NE,4.06783207966728,52.68794495989,100,100
NB1,NB1_NE,4.06782438260458,52.6879302139827,100,100
NB1,NB1_NE,4.0677333,52.6880333,100,100
