,Coord GPS,Degree minute second,,Degree,
Corners,,Lat,Long,Lat,Long
NB1_SO,N4 04.016 W52 41.330,"04°04'0.96""",52°41'19.8'',4.0669333,52.6888333
NB1_SE,N4 04.014 W52 41.271,"04°04'0.84""",52°41'16.26'',4.0669000,52.6878500
NB1_NO,N4 04.071 W52 41.327,"04°04'4.26""",52°41'19.62'',4.0678500,52.6887833
NB1_NE,N4 04.070 W52 41.276,"04°04'4.2""",52°41'16.56'',4.0678333,52.6879333
NB2_SO,N4 04.071 W52 41.327,"04°04'4.26""",52°41'19.62'',4.0678500,52.6887833
NB2_SE,N4 04.070 W52 41.276,"04°04'4.2""",52°41'16.56'',4.0678333,52.6879333
NB2_NO,N4 04.124 W52 41.328,"04°04'7.44""",52°41'19.68'',4.0687333,52.6888000
NB2_NE,N4 04.123 W52 41.273,"04°04'7.38""",52°41'16.38'',4.0687167,52.6878833
,,,,,
,,,,,
,,,NB2,,
,,,NB1,,
